"","Date","011016B9B5","011016BF63","011016FD8E","011016FE79","01101706AD","0110170BCF","0110170F15","0110171671","011017171D","0110172D57","0110173043","0110173577","01101736BA","011017396E","0110173C26","0110173E3A","0110173FFA","01101747D3","01101748C7","0110174B57","0110175F3E","0700EDA0C9","0700EDE823","0700EDFFDB","0700EE08C5","0700EE1540","0700EE1ECE","0700EE257D","0700EE27B1","0700EE315A","0700EE3187"
"39",2019-03-07,NA,2,3,1,3,3,3,3,1,3,NA,1,2,NA,1,3,2,2,4,1,1,1,NA,1,1,NA,2,2,2,1,1
"40",2019-03-08,NA,1,3,1,2,1,2,2,NA,3,NA,1,1,NA,3,1,2,1,2,2,1,1,NA,3,1,NA,3,1,3,1,1
"41",2019-02-03,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"42",2019-02-22,NA,NA,3,1,2,2,2,2,2,3,NA,1,3,NA,2,2,2,2,4,3,1,1,2,NA,1,2,3,4,2,1,1
"43",2019-02-23,NA,NA,1,1,4,2,3,2,2,2,NA,2,1,1,1,2,2,2,1,2,NA,2,NA,NA,NA,2,3,2,2,1,NA
"44",2019-03-09,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"45",2019-03-11,NA,NA,NA,1,1,1,1,2,1,1,NA,1,1,NA,1,NA,1,1,2,1,NA,1,NA,1,NA,1,NA,1,2,NA,NA
"46",2019-03-15,NA,NA,NA,1,NA,1,2,2,1,1,NA,1,2,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,2,3,NA,NA
"47",2019-03-16,NA,NA,NA,NA,NA,2,1,2,1,1,NA,1,2,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
"48",2019-03-12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2019-03-17,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
