Date,Time,Location,Band_Prefix,Band_Suffix,Band_Number,Species,Recap,Age,How_Aged,Sex,How_Sexed,Wing,Bird_and_bag,Bag,Weight,Tarsus,Culmen,RFID,Notes,Add_cap_date,Add_cap_time,Add_cap_date_2
5/5/18,NA,Pioneers Park Nature Center,1901,59311,1901-59321,DOWO,N,U,NA,F,NA,91,51,23,28,16,15.3,011016FBA9,,NA,NA,NA
5/5/18,NA,Pioneers Park Nature Center,1901,59054,1901-59054,DOWO,Y,U,NA,F,NA,94,52,23.5,28.5,17,14.2,0700EE27B1,,5/6/17,9:20,11/4/18
10/6/18,NA,Pioneers Park Nature Center,1901,59328,1901-59328,DOWO,N,HY,NA,F,NA,96,50,0,50,15.1,11.4,0110172D57,,11/4/18,NA,11/23/18
10/13/18,9:51,Pioneers Park Nature Center,1901,59329,1901-59329,DOWO,N,AHY,NA,M,NA,96,51,23,28,15.3,12.8,110173577,,NA,NA,NA
10/13/18,10:21,Pioneers Park Nature Center,1901,59330,1901-59330,DOWO,N,U,NA,M,NA,95,49,23,26,14.8,12.6,011017396E,,NA,NA,NA
10/13/18,10:43,Pioneers Park Nature Center,1901,59331,1901-59331,DOWO,N,AHY,NA,M,NA,94,51,24,27,14.9,14.8,011016FD8E,,11/23/18,NA,NA
11/4/18,NA,Pioneers Park Nature Center,1901,59333,1901-59333,DOWO,N,U,NA,F,NA,96,51,24,27,16.5,12.5,0110170BCF,,NA,NA,NA
11/23/18,NA,Pioneers Park Nature Center,1901,59334,1901-59334,DOWO,N,HY,NA,M,NA,94,51,24,27,17.2,13,011017171D,,NA,NA,NA
11/23/18,NA,Pioneers Park Nature Center,1901,59335,1901-59335,DOWO,N,U,NA,M,NA,91,51,24,27,18.1,13.6,0110173CC4,,NA,NA,NA
11/23/18,NA,Pioneers Park Nature Center,1901,59337,1901-59337,DOWO,N,U,NA,M,NA,98,52,23,29,15.4,15.5,0110173E3A,,NA,NA,NA
11/23/18,NA,Pioneers Park Nature Center,1901,59336,1901-59336,DOWO,N,AHY,NA,F,NA,98,52,23,29,16.2,13.9,01101748C7,,NA,NA,NA
11/6/16,8:33,Bird Garden,2621,50222,2621-50222,HOFI,,,NA,F,NA,78,20.9,0,20.9,17.7,10.7,01101757F5,,NA,NA,NA
11/6/16,8:33,Bird Garden,2621,50223,2621-50223,HOFI,,,NA,F,NA,77,21.2,0,21.2,17.5,10.3,011017943C,,NA,NA,NA
11/6/16,10:45,Bird Garden,1901,59048,1901-59048,HOFI,,,NA,M,NA,78,,,0,18.5,11.1,01101769A2,,NA,NA,NA
11/6/16,10:45,Bird Garden,1901,59049,1901-59049,HOFI,,A,NA,F,NA,74,21.2,0,21.2,17.3,10.4,01101766BA,,NA,NA,NA
11/6/16,10:45,Bird Garden,2621,50225,2621-50225,HOFI,,A,NA,M,NA,81,20.4,0,20.4,17,12.5,110175120,,NA,NA,NA
11/6/16,10:45,Bird Garden,2621,50226,2621-50226,HOFI,,A,NA,M,NA,80,21.6,0,21.6,18.9,10.5,110175781,,NA,NA,NA
11/12/16,9:35,Bird Garden,1901,59050,1901-59050,HOFI,,AHY,NA,M,NA,78,19.3,0,19.3,18.8,10.1,110175433,,NA,NA,NA
11/12/16,10:20,Bird Garden,1901,59051,1901-59051,HOFI,,AHY,NA,M,NA,77,19.6,0,19.6,15.6,10.1,0110175F32,,NA,NA,NA
11/12/16,10:45,Bird Garden,2621,50233,2621-50233,HOFI,,,NA,F,NA,74,20.4,0,20.4,18.5,10.4,011017593D,,NA,NA,NA
11/4/17,10:00,Pioneers Park Nature Center,2750,11040,2750-11040,RBNU,N,U,NA,U,NA,69,34,23,11,16.2,12.9,011016F651,,NA,NA,NA
10/6/18,8:50,Pioneers Park Nature Center,2781,71202,2781-71202,RBNU,N,AHY,NA,M,NA,69,11.2,0,11.2,14.9,11.6,011016BDEC,,11/4/18,NA,NA
10/6/18,NA,Pioneers Park Nature Center,2781,71203,2781-71203,RBNU,N,U,NA,U,NA,68,10.7,0,10.7,15.7,12.5,01101712F8,,NA,NA,NA
10/13/18,10:29,Pioneers Park Nature Center,2781,71206,2781-71206,RBNU,N,U,NA,F,NA,90,44,23,21,18,13.7,011016E2E6,,NA,NA,NA
10/27/18,9:33,Pioneers Park Nature Center,2750,11074,2750-11074,RBNU,N,U,NA,U,NA,69,10.4,0,10.4,15.4,9.9,011016CFEE,,NA,NA,NA
11/23/18,14:45,Pioneers Park Nature Center,2750,11094,2750-11094,RBNU,N,U,NA,M,NA,68,11.5,0,11.5,14.9,10.1,01103F6EC0,,NA,NA,NA
11/23/18,NA,Pioneers Park Nature Center,2750,11092,2750-11092,RBNU,N,HY,NA,M,NA,66,10.6,0,10.6,15.9,11.1,011016B1E9,,NA,NA,NA
11/23/18,NA,Pioneers Park Nature Center,2750,11091,2750-11091,RBNU,N,U,NA,U,NA,NA,12.2,0,12.2,NA,NA,011016B914,,NA,NA,NA
11/23/18,NA,Pioneers Park Nature Center,2750,11093,2750-11093,RBNU,N,U,NA,F,NA,66,10.6,0,10.6,15.3,13,011016BC8D,,NA,NA,NA
11/6/16,8:33,Bird Garden,1342,39638,1342-39638,RBWO,Yes,,NA,F,NA,123,,,0,20.7,28.2,110172730,,NA,NA,NA
11/12/16,9:19,Bird Garden,,NA,,RBWO,,,NA,,NA,134,,,0,21.1,26,01101754A9,,NA,NA,NA
2/18/18,NA,Pioneers Park Nature Center,1372,31200,1372-31200,RBWO,N,NA,NA,F,NA,130,92,24.5,67.5,20.6,26.9,110171063,,NA,NA,NA
3/10/18,9:42,Pioneers Park Nature Center,1372,31199,1372-31199,RBWO,N,U,NA,M,NA,137,110,24,86,22,26.4,110172507,,NA,NA,NA
5/5/18,NA,Pioneers Park Nature Center,1372,31185,1372-31185,RBWO,N,U,NA,F,NA,125,115,24.5,90.5,23.3,26.1,110170897,,NA,NA,NA
11/6/16,10:45,Bird Garden,2621,50224,2621-50224,SCJU,,,NA,M,NA,81,20.1,0,20.1,20.1,9.8,110175183,,NA,NA,NA
11/12/16,9:12,Bird Garden,2621,50227,2621-50227,SCJU,,AHY,NA,M,NA,80,20.2,0,20.2,22.9,10.1,0110175B31,,NA,NA,NA
11/12/16,9:19,Bird Garden,2621,50228,2621-50228,SCJU,,AHY,NA,M,NA,76.5,18.9,0,18.9,21.7,9.5,01101753D5,,NA,NA,NA
11/12/16,9:19,Bird Garden,2621,50229,2621-50229,SCJU,,,NA,,NA,77,16.2,0,16.2,20.6,10.3,1.10E+10,,NA,NA,NA
11/12/16,9:20,Bird Garden,2621,50230,2621-50230,SCJU,,AAY,NA,F,NA,79,18.4,0,18.4,20.9,9.1,110175204,,NA,NA,NA
11/4/18,10:20,Pioneers Park Nature Center,2621,50249,2621-50249,SCJU,Y,ASY,NA,F,NA,82,18.6,0,18.6,20.8,10.3,110171949,2.25 TW,11/4/17,10:00,3/10/18
11/4/18,NA,Pioneers Park Nature Center,2781,71209,2781-71209,SCJU,N,U,NA,M,NA,78,19.8,0,19.8,21,10.2,110170372,,NA,NA,NA
11/4/18,NA,Pioneers Park Nature Center,2750,11096,2750-11096,SCJU,N,HY,NA,F,NA,80,19.5,0,19.5,20.7,10.1,011016C7E5,,NA,NA,NA
